Year,LocationAbbr,LocationDesc,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Number,WeightedNumber,Low_Confidence_Limit,High_Confidence_Limit,StratificationCategory1,Stratification1
2016,WI,Wisconsin,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,78.4,3745,3299132,76.7,80,Overall,Overall
2017,AK,Alaska,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,21.9,726,115326,19.5,24.5,Overall,Overall
2017,AZ,Arizona,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.5,753,245450,4.1,5,Overall,Overall
2017,AL,Alabama,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,15.7,998,576054,14.4,17.1,Overall,Overall
2016,WI,Wisconsin,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.7,152,122621,2.1,3.4,Overall,Overall
2017,AK,Alaska,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,10,382,53056,8.5,11.8,Overall,Overall
2017,AL,Alabama,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,6.1,481,240119,5.4,6.9,Overall,Overall
2017,CA,California,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,77,6573,21717479,75.7,78.1,Overall,Overall
2016,WY,Wyoming,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,9.9,376,42691,8.4,11.6,Overall,Overall
2016,WY,Wyoming,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24.4,1342,111776,22.5,26.5,Overall,Overall
2016,WY,Wyoming,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,8.6,534,40846,7.5,9.9,Overall,Overall
2017,AZ,Arizona,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.9,1359,351660,5.5,6.4,Overall,Overall
2017,AL,Alabama,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,10.7,832,411648,9.7,11.8,Overall,Overall
2022,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,28.7,132827,73434428,28.4,29,Overall,Overall
2017,AR,Arkansas,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,15.5,674,340972,13.6,17.6,Overall,Overall
2017,AL,Alabama,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,19.9,1737,795146,18.7,21.1,Overall,Overall
2016,WI,Wisconsin,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,21.6,1244,969073,20,23.3,Overall,Overall
2017,AZ,Arizona,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,11.2,1456,569638,10.5,12,Overall,Overall
2017,CA,California,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.3,331,1008500,2.9,3.9,Overall,Overall
2017,AK,Alaska,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.7,176,30519,4.4,7.3,Overall,Overall
2016,WI,Wisconsin,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,10,700,475818,9,11.1,Overall,Overall
2017,CA,California,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,10.7,1118,3289467,10,11.6,Overall,Overall
2017,AK,Alaska,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,8.9,226,47663,7,11.1,Overall,Overall
2017,AL,Alabama,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,33.2,2585,1275685,31.6,34.9,Overall,Overall
2017,AZ,Arizona,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.8,1060,359588,6.2,7.4,Overall,Overall
2016,WY,Wyoming,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,75.6,3064,326579,73.5,77.5,Overall,Overall
2016,WY,Wyoming,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,11.1,740,52599,9.9,12.4,Overall,Overall
2017,AR,Arkansas,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,64.8,2949,1398156,62.3,67.3,Overall,Overall
2017,CA,California,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10.1,833,2879585,9.2,11.1,Overall,Overall
2016,WI,Wisconsin,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.1,367,250211,4.3,6,Overall,Overall
2017,AR,Arkansas,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,19.8,1439,477462,18,21.8,Overall,Overall
2017,AR,Arkansas,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,10,578,224719,8.5,11.7,Overall,Overall
2017,CA,California,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.2,396,1267417,3.7,4.9,Overall,Overall
2016,WY,Wyoming,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4,215,18371,3.2,5.1,Overall,Overall
2017,AK,Alaska,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.6,224,24496,3.7,5.7,Overall,Overall
2017,AL,Alabama,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,66.8,3889,2358395,65.1,68.4,Overall,Overall
2017,AK,Alaska,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,2.7,94,14890,1.9,4,Overall,Overall
2017,FL,Florida,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.1,2090,1235723,6.4,7.9,Overall,Overall
2017,DE,Delaware,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,13.6,518,97204,11.9,15.5,Overall,Overall
2017,CT,Connecticut,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.6,599,159553,5,6.3,Overall,Overall
2017,GA,Georgia,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,11.8,708,894665,10.7,13,Overall,Overall
2017,CO,Colorado,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,9.1,1063,384400,8.5,9.8,Overall,Overall
2017,FL,Florida,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,28.1,7865,4930016,26.7,29.6,Overall,Overall
2017,DE,Delaware,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,7.2,381,59381,6.1,8.4,Overall,Overall
2017,GU,Guam,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.6,100,5985,5.2,8.3,Overall,Overall
2017,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,22.9,1088,122339,21.4,24.6,Overall,Overall
2017,GU,Guam,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,7.8,107,7595,6.1,10,Overall,Overall
2017,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.3,175,17378,2.7,4,Overall,Overall
2017,HI,Hawaii,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.8,482,59113,4.2,5.5,Overall,Overall
2017,CT,Connecticut,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,8.4,748,223959,7.6,9.4,Overall,Overall
2017,CO,Colorado,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.2,492,214058,4.7,5.8,Overall,Overall
2017,GA,Georgia,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,27.2,1924,2105351,25.8,28.7,Overall,Overall
2017,CO,Colorado,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,79,6814,3136291,78,80.1,Overall,Overall
2017,HI,Hawaii,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.2,296,36240,2.7,3.7,Overall,Overall
2017,DE,Delaware,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4.5,226,36266,3.7,5.5,Overall,Overall
2017,CO,Colorado,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.4,251,102213,2.1,2.8,Overall,Overall
2017,GA,Georgia,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.4,530,511610,5.7,7.2,Overall,Overall
2017,FL,Florida,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,14.3,4685,2702304,13.3,15.4,Overall,Overall
2017,DE,Delaware,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.9,252,44559,4.8,7.2,Overall,Overall
2017,CT,Connecticut,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,9.3,1331,289115,8.6,10,Overall,Overall
2017,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,9.9,397,54328,8.7,11.1,Overall,Overall
2017,GU,Guam,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,28.9,408,27090,26.2,31.9,Overall,Overall
2017,FL,Florida,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4.3,1362,781923,3.8,4.8,Overall,Overall
2017,HI,Hawaii,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,20.2,1779,231270,19,21.5,Overall,Overall
2017,FL,Florida,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,12.6,2965,2052535,11.6,13.8,Overall,Overall
2017,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5,252,26229,4.3,5.8,Overall,Overall
2017,GU,Guam,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,71.1,1041,75655,68.1,73.8,Overall,Overall
2017,HI,Hawaii,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,8.6,657,92813,7.7,9.6,Overall,Overall
2017,GA,Georgia,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.9,505,532450,6.1,7.7,Overall,Overall
2017,CO,Colorado,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,21,2041,846509,19.9,22,Overall,Overall
2017,GA,Georgia,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,13.6,1150,1095512,12.6,14.6,Overall,Overall
2017,DE,Delaware,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,14.6,803,121092,13.2,16.1,Overall,Overall
2017,GU,Guam,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.6,100,7107,6,9.6,Overall,Overall
2022,VI,U.S. Virgin Islands,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,8.4,97,6370,5,13.9,Overall,Overall
2017,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.1,642,63129,11.1,13.3,Overall,Overall
2017,CT,Connecticut,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,21.1,2459,602328,19.9,22.3,Overall,Overall
2017,FL,Florida,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.8,1536,1002735,5,6.7,Overall,Overall
2017,HI,Hawaii,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,4.9,392,55180,4.3,5.6,Overall,Overall
2017,CT,Connecticut,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.3,765,164093,4.7,5.9,Overall,Overall
2017,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.2,241,27486,4.4,6.1,Overall,Overall
2017,GU,Guam,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,15.9,222,13962,13.7,18.4,Overall,Overall
2017,DE,Delaware,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,69.7,2610,499776,67.4,71.9,Overall,Overall
2017,FL,Florida,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.2,2315,1216350,5.6,6.9,Overall,Overall
2017,HI,Hawaii,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,9.5,930,116086,8.7,10.3,Overall,Overall
2017,GA,Georgia,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.2,380,408818,4.5,5.9,Overall,Overall
2017,GA,Georgia,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.7,304,292524,3.2,4.3,Overall,Overall
2017,FL,Florida,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,71.9,13244,11088817,70.4,73.3,Overall,Overall
2017,CT,Connecticut,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.7,347,80622,2.3,3.2,Overall,Overall
2017,CO,Colorado,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,9.3,683,368199,8.5,10.1,Overall,Overall
2017,CT,Connecticut,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,78.9,7643,2072220,77.7,80.1,Overall,Overall
2017,CO,Colorado,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3,286,122503,2.5,3.4,Overall,Overall
2017,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.1,251,26729,4.4,5.9,Overall,Overall
2017,HI,Hawaii,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.6,216,30983,2.1,3.2,Overall,Overall
2017,CT,Connecticut,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.9,366,109105,3.3,4.6,Overall,Overall
2017,DC,District of Columbia,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,77.1,2709,434389,75.4,78.6,Overall,Overall
2017,GU,Guam,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10.7,149,10541,8.8,13,Overall,Overall
2017,CO,Colorado,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.5,561,188483,4,4.9,Overall,Overall
2017,GA,Georgia,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,72.8,3829,5418048,71.3,74.2,Overall,Overall
2017,DE,Delaware,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,8.1,350,61549,6.9,9.6,Overall,Overall
2017,GU,Guam,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.5,54,3412,2.5,4.9,Overall,Overall
2017,DE,Delaware,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,30.3,1373,230742,28.1,32.6,Overall,Overall
2017,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.2,3523,689436,4.9,5.6,Overall,Overall
2017,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.6,1980,905027,3.3,3.9,Overall,Overall
2017,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.4,7599,3240981,11.9,12.9,Overall,Overall
2017,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.3,4632,749201,6,6.6,Overall,Overall
2017,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.1,1602,382935,2.8,3.4,Overall,Overall
2017,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.1,3461,1947973,5.6,6.7,Overall,Overall
2022,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.8,3676,2264439,6.4,7.2,Overall,Overall
2017,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4.5,4302,2418433,4.2,4.7,Overall,Overall
2017,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.7,2046,416026,3.4,4,Overall,Overall
2017,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7,2409,1792043,6.5,7.4,Overall,Overall
2017,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,11.2,6506,4317911,10.7,11.6,Overall,Overall
2017,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10.5,2828,2546790,9.9,11.1,Overall,Overall
2017,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.5,4772,2905699,5.1,5.8,Overall,Overall
2022,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,72.3,21046,16618964,71.6,73.1,Overall,Overall
2017,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24,6949,2595056,23.3,24.7,Overall,Overall
2017,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.6,3559,1477391,5.3,6,Overall,Overall
2017,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,14.7,7595,4632222,13.8,15.5,Overall,Overall
2017,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,10.3,6300,1344091,9.8,10.9,Overall,Overall
2017,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.5,1735,695519,6.1,6.9,Overall,Overall
2017,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.7,3395,1646653,6.3,7.1,Overall,Overall
2017,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,75.3,44636,28871363,74.7,75.8,Overall,Overall
2017,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,10.6,3719,1214267,10.1,11.1,Overall,Overall
2017,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4,2149,444051,3.7,4.4,Overall,Overall
2017,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,22.7,11608,2732345,21.8,23.6,Overall,Overall
2017,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24.7,8362,6298844,23.9,25.5,Overall,Overall
2022,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,11.5,6832,3132778,10.9,12.1,Overall,Overall
2017,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,71.2,42970,34035809,70.5,71.8,Overall,Overall
2017,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.7,1022,409146,3.4,4.1,Overall,Overall
2017,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.1,2820,1686900,3.8,4.4,Overall,Overall
2017,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,72,21774,21389333,70.8,73.1,Overall,Overall
2017,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.7,1687,457847,3.4,4.1,Overall,Overall
2017,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.8,3455,736318,6.4,7.2,Overall,Overall
2017,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.5,6669,3669356,6.2,6.8,Overall,Overall
2017,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.9,4685,2805381,6.6,7.3,Overall,Overall
2017,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,12.8,4401,3900091,11.9,13.7,Overall,Overall
2017,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24.4,12619,6013258,23.7,25.2,Overall,Overall
2017,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.8,2179,950380,3.5,4.1,Overall,Overall
2017,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6,2111,692609,5.6,6.3,Overall,Overall
2017,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,25.9,14680,2852063,25.2,26.7,Overall,Overall
2017,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4.6,2135,1455258,4.1,5.2,Overall,Overall
2017,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.9,1421,1035729,3.6,4.3,Overall,Overall
2017,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.9,6936,4109159,7.5,8.2,Overall,Overall
2017,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,75.3,18956,17797209,74.5,76.1,Overall,Overall
2017,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10.7,2431,1111357,10.2,11.3,Overall,Overall
2017,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10,3938,1123092,9.4,10.7,Overall,Overall
2017,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,28,12222,8596962,26.9,29.2,Overall,Overall
2017,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.5,10748,5447429,12.1,12.9,Overall,Overall
2017,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,75.6,29154,17354286,74.8,76.3,Overall,Overall
2017,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.4,2994,753704,5.9,6.9,Overall,Overall
2017,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.2,5187,2313103,5,5.4,Overall,Overall
2017,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.5,1053,383623,3.2,3.8,Overall,Overall
2017,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,15.3,15378,8455874,14.8,15.8,Overall,Overall
2017,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,8.2,3376,2536448,7.5,9,Overall,Overall
2017,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,11.3,4878,1176355,10.8,11.9,Overall,Overall
2017,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,77.3,31751,8578233,76.4,78.2,Overall,Overall
2017,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.9,5047,3460970,12.4,13.5,Overall,Overall
2017,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,11,4432,2537819,10.4,11.5,Overall,Overall
2017,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24.7,18533,10196018,24.2,25.3,Overall,Overall
2017,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.8,2365,1800807,5.2,6.4,Overall,Overall
2017,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.9,8365,1488898,12.4,13.4,Overall,Overall
2017,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.5,1905,1215265,4.2,4.8,Overall,Overall
2017,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,74.1,35773,7553576,73.3,74.8,Overall,Overall
2017,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,13.1,9341,6469923,12.6,13.6,Overall,Overall
2017,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.7,2735,1561184,3.5,4,Overall,Overall
2017,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,76,18705,7805551,75.3,76.7,Overall,Overall
2017,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,28.8,24776,15080635,28.2,29.5,Overall,Overall
2017,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.7,1951,1469330,5.3,6,Overall,Overall
2017,IA,Iowa,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,10.7,1078,282788,10,11.5,Overall,Overall
2017,ID,Idaho,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.7,204,36391,2.3,3.2,Overall,Overall
2017,ID,Idaho,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.1,313,65552,4.3,6,Overall,Overall
2017,HHS8,HHS Region 8,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.5,1402,226352,2.3,2.7,Overall,Overall
2017,HHS9,HHS Region 9,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.9,2865,2004021,4.6,5.4,Overall,Overall
2017,IA,Iowa,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.8,614,157633,5.3,6.3,Overall,Overall
2017,KS,Kansas,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10.6,1952,219572,10,11.2,Overall,Overall
